RANKING;COUNTRY;COU;PLAYER;MARKED;MATCHES;GOALS;DEBUT;POSITION;WC;WC_DESC;UCL/MUNDIALCLUB;UCL_DESC;EUROAMERICAN;EURO_DESC;BOTH;SOLO_AWARD;SOLO_AWARD2;AWARD_DESC;ENGLAND;SPAIN;ITALY;GERMANY;FRANCE;NONSTRIKER
26;AUS;AUS;Craig Goodwin;0;32;7;2013;LEFT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
26;AUS;AUS;Martin boyle;0;39;10;2018;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
25;TUR;TUR;Oguz Aydin;0;9;0;2024;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
25;TUR;TUR;Deniz Gul;0;5;1;2025;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
25;TUR;TUR;Yusuf Sari;0;6;1;2023;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
25;TUR;TUR;Baris Alper Yilmaz;0;31;2;2021;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
25;TUR;TUR;Kenan Yildiz;0;26;5;2023;LEFT;0;;0;;0;;0;0;0;;0;0;1;0;0;0
25;TUR;TUR;Arda Guler;0;26;6;2022;CENTER;0;;1;23/24 Champions League;0;;0;0;0;;0;1;0;0;0;1
25;TUR;TUR;Irfan Can Kahveci;0;44;6;2018;RIGHT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
25;TUR;TUR;Kerem Akturkoglu;0;49;14;2021;LEFT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
25;TUR;TUR;Hakan Calhanoglu;1;102;22;2013;CENTER;0;;0;;0;;0;1;0;;0;0;1;0;0;1
24;AUT;AUT;Patrick Wimmer;0;28;1;2025;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
24;AUT;AUT;Nikolaus Wurmbrand;0;2;1;2025;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
24;AUT;AUT;David Alaba;0;111;15;2009;CENTER;0;;1;x4 Champions League;0;;0;1;0;;0;1;0;1;0;0
24;AUT;AUT;Michael Gregoritsch;0;72;22.5;2016;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
24;AUT;AUT;Marcel Sabitzer;0;95;23.49;2012;CENTER;0;;0;;0;;0;1;0;;1;0;0;1;0;1
24;AUT;AUT;Marco Grull;0;8;0;2021;LEFT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
24;AUT;AUT;Raul Florucz;0;3;0;2025;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
24;AUT;AUT;Marko Arnautovic;1;130;47;2008;CENTER;0;;1;09/10 Champions League;0;;0;1;0;;0;0;1;0;0;0
23;ECU;ECU;Nilson Angulo;0;12;1;2021;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
23;ECU;ECU;John Mercado;0;6;0;2024;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
23;ECU;ECU;Leonardo Campana;0;20;1;2019;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
23;ECU;ECU;Alan Minda;0;18;2;2024;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
23;ECU;ECU;Kevin Rodriguez;0;29;2;2022;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
23;ECU;ECU;Moises Caicedo;1;58;3;2020;CENTER;0;;1;2025 Club World Cup;0;;0;1;0;;1;0;0;0;0;1
23;ECU;ECU;Gonzalo Plata;0;47;8;2019;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
23;ECU;ECU;Enner Valencia;1;103;48;2012;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
